성별,연령대,직업,이용빈도,이용목적,만족,불편,구매 포기 이유 ,선호 매장 종류,앱 사용 여부,앱 사용 목적,앱에서 가장 많이 사용하는 기능,앱 불편한점,CU앱 신뢰도,앱을 확인한 후 실제 매장을 방문한 경험,쿠폰의 개인 취향 부합 정도,쿠폰 미사용 이유,희망 쿠폰 종류,쿠폰의 매장 방문 결정 영향,서비스 도입 후 편의점 편의성,재방문 주요 이유,서비스 도입 후 CU 선택 영향,1회 평균 지출 금액,계획에 없던 상품을 추가로 구매할 의향,지인에게 추천할 의향
여자,30대,학생,주 3-5회,"다양한 상품 구매, 할인 및 프로모션 이용, 단독/PB상품 구매","상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","원하는 상품이 없거나 품절 상태임, 직원 응대(불친절 또는 미숙함)",원하는 상품이 없어서,상관없음,사용중,"멤버십 적립 및 결제, 보관기능","행사 상품 정보 (1+1, 2+1 등)",앱 속도(실행/로딩)가 느림,4,전혀 없다,1,필요 없는 상품이라서,음료,4,4,위치 접근성,5,"5,000~10,000원 미만",5,5
여자,50대 이상,주부,월 1-2회,반값택배,특별히 없음,불편함 없음,가격 또는 혜택이 부족해서,유인 매장,사용하지 않음,,,,,,,,도시락/간편식,4,2,위치 접근성,3,"5,000원 미만",3,2
남자,20대,학생,주 6회 이상,다양한 상품 구매,매장 접근성,"점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",해당 없음,상관없음,사용중,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,쿠폰 사용 과정이 번거로움,5,가끔 있다(1-3회),3,쿠폰의 존재를 잊어서,과자/간식,3,5,위치 접근성,4,"5,000~10,000원 미만",5,5
남자,30대,직장인,주 6회 이상,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택, 매장 접근성","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움, 원하는 상품이 없거나 품절 상태임",가격 또는 혜택이 부족해서,상관없음,사용하지 않음,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제",특정 상품 재고 조회,UI/디자인이 직관적이지 않음,3,가끔 있다(1-3회),3,"필요 없는 상품이라서, 할인 혜택이 불충분해서, 쿠폰의 존재를 잊어서, 매장 방문 시기가 맞지 않아서",도시락/간편식,3,4,위치 접근성,4,"10,000~30,000원 미만",4,4
여자,30대,직장인,월 1-2회,쓰레기봉투 라면 등 생활용품,매장 접근성,프로모션 정보가 부족하거나 놓치기 쉬움,해당 없음,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,앱 속도(실행/로딩)가 느림,4,자주 있다 (5회 이상),3,필요 없는 상품이라서,주류,1,5,위치 접근성,5,"5,000~10,000원 미만",4,4
여자,30대,직장인,주 1-2회,"다양한 상품 구매, 단독/PB상품 구매","상품 다양성 (PB, 브랜드, 콜라보 상품 등)",원하는 상품이 없거나 품절 상태임,앱 재고 정보와 실제 매장이 달라서,상관없음,사용중,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,앱 속도(실행/로딩)가 느림,3,가끔 있다(1-3회),1,사용방법이 번거로워서,생필품,2,3,위치 접근성,3,"5,000~10,000원 미만",3,3
여자,20대,학생,주 3-5회,다양한 상품 구매,"상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","원하는 상품이 없거나 품절 상태임, 직원 응대(불친절 또는 미숙함)",원하는 상품이 없어서,유인 매장,사용하지 않음,,,,3,가끔 있다(1-3회),3,"유효기간이 짧아서, 쿠폰의 존재를 잊어서",음료,4,4,위치 접근성,5,"5,000~10,000원 미만",5,5
남자,20대,학생,주 1-2회,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택",원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,무인 매장,사용하지 않음,,,,,,,,음료,4,4,프로모션/행사,4,"5,000~10,000원 미만",3,3
여자,20대,학생,주 1-2회,단독/PB상품 구매,"할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움, 원하는 상품이 없거나 품절 상태임",원하는 상품이 없어서,유인 매장,사용하지 않음,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,쿠폰 사용 과정이 번거로움,3,가끔 있다(1-3회),2,필요 없는 상품이라서,과자/간식,2,4,위치 접근성,3,"5,000원 미만",3,3
여자,20대,학생,주 3-5회,다양한 상품 구매,특별히 없음,매장 청결 및 상품 진열 등 전반적인 환경이 불편함,해당 없음,무인 매장,사용하지 않음,"상품 검색, 재고 조회, 예약 구매 등","행사 상품 정보 (1+1, 2+1 등)","재고 정보 등 앱 정보의 정확도가 낮음, 쿠폰 사용 과정이 번거로움",4,종종 있다 (3-5회),2,"필요 없는 상품이라서, 사용방법이 번거로워서, 쿠폰의 존재를 잊어서",도시락/간편식,4,4,위치 접근성,4,"30,000~50,000원 미만",5,5
